people_name_sponsors,bipartisan_rate1,bipartisan_rate2,weighted_bipartisan_rate2,bipartisan_rate3,weighted_bipartisan_rate3,bills_sponsored,introduced_num,passed_num,failed_num,vetoed_num,engrossed_num,enrolled_num,total_bills
Jay Obernolte,0.35710109446646315,0.2612761891966532,0.23166040937374824,0.19188798311205613,0.16514801048631328,250,33,83,91,18,25,0,13439
Chad Mayes,0.5730023920819891,0.38209322767053255,0.34663012129045373,0.2911692696555622,0.25210622087226453,201,20,53,94,10,24,0,13439
Jim Beall,0.3754610841415887,0.23029240960459085,0.2931416653043933,0.14424975919169497,0.21876855671273276,759,84,360,96,69,150,0,26572
Jerry Hill,0.35582901140045187,0.22324722745664735,0.28766914675458916,0.14783379806552793,0.21087400317065566,780,72,410,84,63,149,2,26572
Tyler Diep,0.515625,0.296875,0.359375,0.25829605621907453,0.23101708270537322,64,21,13,17,2,11,0,4580
Ling Ling Chang,0.5950997726698661,0.22949117341640704,0.4020936824675142,0.2135949603907298,0.2580318446188863,221,35,65,89,14,18,0,13439
William Brough,0.4416901722140664,0.2811784054072039,0.1942538273187651,0.20571924617803575,0.1562532607328797,281,47,61,144,14,15,0,13439
Cathleen Galgiani,0.5111531868356018,0.35831643618867143,0.3911333988501384,0.256354590827934,0.2793139234888165,645,109,257,134,50,93,2,26572
Holly Mitchell,0.2143398708537525,0.11440779754521425,0.15434777626829574,0.0767594535718355,0.11679243229954833,400,30,241,40,21,66,2,21907
Hannah-Beth Jackson,0.3108969774980931,0.21568935926773455,0.26834596681922196,0.12708914309450972,0.1941659781869611,356,33,197,41,33,52,0,17634
Ian Calderon,0.3187067646425683,0.17469411620965913,0.252626847956993,0.1349587289768559,0.16862736614054297,238,27,99,49,28,35,0,17634
Christy Smith,0.30434782608695654,0.15942028985507245,0.21739130434782608,0.12047221381993337,0.16884288575918013,69,12,29,6,7,15,0,4580
William Monning,0.2743263989071978,0.18324452715893216,0.23008806829199996,0.122624255959127,0.16128872633377073,620,48,342,63,46,120,1,26572
Mike Morrell,0.30578904683014274,0.16282603899042256,0.12460407605613086,0.12386404575301979,0.10093632712399006,306,106,62,111,3,24,0,21907
Jeff Stone,0.5009007613885663,0.3071209188282359,0.3636185314234095,0.23928820446113339,0.2414879155269402,258,19,70,136,16,16,1,13439
John Moorlach,0.40099324486689986,0.32432470919107503,0.30149431732215487,0.22123232851712546,0.21152934716033853,175,39,41,76,7,12,0,13439
Ricardo Lara,0.19590928006658342,0.11687057844361215,0.14543903454015814,0.06818496160370964,0.1132103487540324,379,34,229,26,44,45,1,21907
Joel Anderson,0.60134671165208,0.45315101056678975,0.4190469400858447,0.30412228892511173,0.31921367626520675,609,130,240,147,35,57,0,21992
Jimmy Gomez,0.2593559076317697,0.18614994304649476,0.2082893238065652,0.13119830059329257,0.15385302302895495,163,13,83,39,15,13,0,13054
Catharine Baker,0.6996470099667773,0.43005952380952384,0.3588732004429679,0.33351842438110824,0.2784176497786432,241,9,83,122,14,13,0,8859
Marc Steinorth,0.5927405927405927,0.39610389610389607,0.3176823176823177,0.30448204814697133,0.2399017555275746,190,11,55,102,10,12,0,8859
Dante Acosta,0.6186440677966102,0.3898305084745763,0.2796610169491525,0.29660651421618517,0.21892579804313952,118,17,39,38,5,19,0,4482
Jean Fuller,0.47990659619789483,0.3049878360805914,0.2442407443038296,0.22914581007302792,0.19084656613554346,371,99,121,108,14,28,1,21992
Ted Gaines,0.4802257581939344,0.33822182468694095,0.2853846363075249,0.23854961461961513,0.2207425942766467,395,115,138,95,19,27,1,21992
Anthony Cannella,0.6815999278499278,0.482758769008769,0.45040480352980355,0.3669953819497895,0.31965834573235985,378,90,142,93,21,31,1,17327
Rocky Chavez,0.628683758424739,0.3979009735253954,0.3176181666005903,0.2919349736281789,0.24797523928859694,347,40,120,150,19,18,0,13054
Andy Vidak,0.6340753458449273,0.40019249986096234,0.31983771167360064,0.2854743341211455,0.2560723649928058,280,26,99,115,16,24,0,13054
Matthew Harper,0.401358024691358,0.22907407407407407,0.17055555555555557,0.17669022405383156,0.14832106563957204,181,14,27,127,4,9,0,8859
Tony Thurmond,0.15066201076676852,0.07620398661428779,0.1201804161210534,0.06349772954550079,0.08370159892725434,245,11,94,106,20,14,0,8859
Travis Allen,0.3617734724292101,0.24165424739195232,0.21207153502235468,0.18717315856861114,0.14400729106258023,177,8,29,135,5,0,0,8859
Kevin de Leon,0.2576612643020129,0.16024911570271197,0.17621462393370232,0.10737482350756725,0.1405262229270008,349,48,187,26,30,58,0,21992
Edward Hernandez,0.27494121908767216,0.19419869886231442,0.24249183475728098,0.11503478555799486,0.18488403264165415,399,33,222,55,29,60,0,21992
Sebastian Ridley-Thomas,0.20791327913279134,0.13685636856368563,0.13170731707317074,0.09351091487831967,0.11168326491751507,126,8,53,46,9,10,0,13054
Raul Bocanegra,0.3324914124065468,0.23196605374823195,0.25146494241260864,0.14721296732832834,0.18988285190301646,150,21,73,16,9,31,0,8677
Matt Dababneh,0.37987353206865404,0.25252032520325207,0.297289972899729,0.17819798088489447,0.21347449030384347,222,15,98,48,15,46,0,13054
Tom Berryhill,0.5439128467957564,0.40906025236672783,0.3424856707455761,0.2650453904159559,0.27363312130990247,456,107,161,122,19,47,0,21992
Tony Mendoza,0.31429397001519055,0.21961411219386254,0.25971046406205905,0.15151273615958621,0.18035809597873934,278,52,129,39,30,27,1,17797
Vanessa Delgado,0,0,0,0,0,3,0,2,0,1,0,0,4482
Cheryl Brown,0.46990950226244343,0.3281835811247576,0.3513251454427925,0.21713561682342147,0.2630412418886531,249,30,99,82,24,14,0,8572
Luis Alejo,0.27848334760099464,0.19466831084478142,0.22935367494191022,0.1415264333626645,0.15803610521444908,479,54,254,86,37,47,1,12845
Henry Perea,0.46219135802469136,0.3477623456790124,0.3752314814814815,0.23582103899531653,0.27303151878707654,234,31,120,28,15,39,1,12845
Das Williams,0.2796392279539553,0.17036939195054265,0.2262288126929604,0.12419767193411675,0.16955580275348364,436,36,221,107,25,46,1,12845
Eric Linder,0.5657894736842105,0.4103114930182599,0.34684926602219834,0.289614796244007,0.26013873669366583,155,22,60,61,8,4,0,8572
Mike Gatto,0.48546411318150445,0.23093177287017866,0.2803705620734606,0.16864487907483278,0.22673593166186562,263,15,146,44,32,24,2,17510
Marty Block,0.5171450046087577,0.3408209506593931,0.39141804929398133,0.20916297927045005,0.29788474125999537,454,48,247,47,35,76,1,17510
Mark Leno,0.29193455638960564,0.20535934201266715,0.22751738147366227,0.11674098453231933,0.1816049205008397,493,50,265,61,59,58,0,17510
